iter	RMSE
0	1.000644585
1	0.9876916493
2	0.9736707802
3	0.9608188095
4	0.947486961
5	0.9358356892
6	0.9261741031
7	0.9161210986
8	0.9062925305
9	0.8980626481
10	0.8885108357
11	0.8786232087
12	0.8694765623
13	0.8620138024
14	0.8545440856
15	0.8477996917
16	0.8418975685
17	0.8340044765
18	0.8270378682
19	0.820531349
20	0.8142336875
21	0.8077396244
22	0.8034756091
23	0.7996977615
24	0.7952888474
25	0.7911202651
26	0.7868234272
27	0.7822790832
28	0.7776526372
29	0.7734080571
30	0.7700708285
31	0.7671049516
32	0.7632952158
33	0.7596681282
34	0.7564493063
35	0.7525572488
36	0.749427027
37	0.7462341739
38	0.7426354912
39	0.7409559934
40	0.7376363157
41	0.7349274307
42	0.7322359282
43	0.7301936148
44	0.727592568
45	0.7250051995
46	0.721285165
47	0.7192446406
48	0.71685418
49	0.7158760596
50	0.7132865386
51	0.712169399
52	0.7105657075
53	0.7071875351
54	0.7060336934
55	0.7032750412
56	0.7016821149
57	0.7006121607
58	0.6989782081
59	0.6974912734
60	0.6965079244
61	0.6947639648
62	0.6924387874
63	0.691028152
64	0.6900407851
65	0.6884861455
66	0.6872640642
67	0.6850918287
68	0.6842029726
69	0.6825156238
70	0.68114585
71	0.6797856977
72	0.6777998068
73	0.6757467674
74	0.6742393738
75	0.6729983308
76	0.6719334832
77	0.6705881788
78	0.6695493186
79	0.6684621428
80	0.6674964096
81	0.6655823655
82	0.6643280721
83	0.6620099316
84	0.6604527204
85	0.6593841634
86	0.6590523609
87	0.6580022245
88	0.6566920848
89	0.655280299
90	0.6544847501
91	0.6535339834
92	0.6522533544
93	0.651007182
94	0.6498613344
95	0.6481915741
96	0.6472264548
97	0.6459362141
98	0.6446377118
99	0.6431531491
100	0.6414741092
101	0.6403827431
102	0.6389346394
103	0.6377772161
104	0.6366350426
105	0.6360782781
106	0.6348518816
107	0.633613199
108	0.6328868492
109	0.63160886
110	0.6305089763
111	0.629210628
112	0.6284238781
113	0.6275103821
114	0.6261479191
115	0.6250690473
116	0.6244749809
117	0.6236349806
118	0.6228716599
119	0.6217281006
120	0.6211429747
121	0.6202962576
122	0.6195304008
123	0.6185331486
124	0.6176852554
125	0.6165599818
126	0.615969005
127	0.6152902248
128	0.614380497
129	0.613998417
130	0.6132452391
131	0.6129456123
132	0.6115176294
133	0.6104953667
134	0.6085500057
135	0.6075362713
136	0.6068233702
137	0.6062150624
138	0.605210864
139	0.6044591027
140	0.6038901609
141	0.6033644556
142	0.602535849
143	0.60150915
144	0.6006638038
145	0.6000656794
146	0.5991951906
147	0.5983597147
148	0.5973108569
149	0.5958570894
150	0.5941604299
151	0.5938337316
152	0.5928754408
153	0.5921592062
154	0.5913555038
155	0.590459895
156	0.5892854738
157	0.5885496009
158	0.5878613686
159	0.5871411373
160	0.586698733
161	0.5854891125
162	0.584147348
163	0.5829548056
164	0.5819282172
165	0.5814256983
166	0.5800658094
167	0.5787877793
168	0.577678616
169	0.5768212258
170	0.5754246025
171	0.5751895165
172	0.5741837583
173	0.5736658858
174	0.5729939547
175	0.5718476727
176	0.5715226792
177	0.5706474189
178	0.5699154505
179	0.5689167286
180	0.5676537772
181	0.5670847614
182	0.5663596797
183	0.5652940575
184	0.5645455695
185	0.5642030572
186	0.5632108469
187	0.5620345978
188	0.5613560504
189	0.5606169165
190	0.5596570154
191	0.5584301871
192	0.5574221457
193	0.5566832537
194	0.5556766196
195	0.5546918124
196	0.5536048085
197	0.5528668372
198	0.5514496217
199	0.5507807503
200	0.5500208678
201	0.5493123144
202	0.5481459043
203	0.5478535394
204	0.5470908877
205	0.5464351711
206	0.5451952507
207	0.5446810786
208	0.5440577574
209	0.5429125971
210	0.5419867069
211	0.5413195896
212	0.5402296864
213	0.5388671387
214	0.5379354569
215	0.536974011
216	0.5361060638
217	0.5352919124
218	0.53429325
219	0.5332643575
220	0.5321377751
221	0.5307746144
222	0.5293430596
223	0.528281176
224	0.5275500679
225	0.5262848549
226	0.5251631205
227	0.5246889734
228	0.5241628177
229	0.5230132836
230	0.5219173969
231	0.5209916408
232	0.5200445476
233	0.5191849197
234	0.5185082222
235	0.5178257119
236	0.5168036908
237	0.5159881655
238	0.5153830293
239	0.5146190444
240	0.5137853748
241	0.5133188685
242	0.5124706478
243	0.5120073042
244	0.5112069947
245	0.5097454327
246	0.5090383153
247	0.508477308
248	0.5075150224
249	0.5070673576
250	0.5063650296
251	0.5051619413
252	0.5043255548
253	0.5031221829
254	0.5024543552
255	0.5021526124
256	0.5011198977
257	0.500378287
258	0.4995367786
259	0.4987706114
260	0.4978811339
261	0.4966499107
262	0.4957228798
263	0.4952109944
264	0.4943962058
265	0.4936367988
266	0.4928735335
267	0.4919482683
268	0.4915763864
269	0.4908760104
270	0.4902152588
271	0.4894933236
272	0.488987258
273	0.4883539889
274	0.4870481934
275	0.486710784
276	0.4860819264
277	0.4849882716
278	0.4842750717
279	0.4839266756
280	0.4833651471
281	0.4826705152
282	0.4818379079
283	0.4812708682
284	0.4803612917
285	0.4794726648
286	0.4788333607
287	0.4782865887
288	0.4780007024
289	0.4772085402
290	0.4767704784
291	0.4759661194
292	0.475183171
293	0.4748962058
294	0.4744667713
295	0.4736408288
296	0.4731619159
297	0.4721826253
298	0.4713667879
299	0.4703648445
300	0.4694509576
301	0.468707669
302	0.4675737944
303	0.4670295233
304	0.4663564052
305	0.4657552459
306	0.4650550352
307	0.4640169857
308	0.4632652675
309	0.4624965248
310	0.4619346497
311	0.4609441105
312	0.4600074857
313	0.4593862472
314	0.4583952611
315	0.4577699203
316	0.4569876164
317	0.4562956442
318	0.4555804109
319	0.4550176578
320	0.4540466058
321	0.4531957858
322	0.4525695631
323	0.4520030475
324	0.4508261934
325	0.4501020742
326	0.4494736905
327	0.4489526274
328	0.4482084451
329	0.4478978523
330	0.4470051745
331	0.4460871805
332	0.4454711319
333	0.4446043854
334	0.4440754178
335	0.4435884306
336	0.4426396857
337	0.4418247346
338	0.4409728057
339	0.4398496443
340	0.4393776467
341	0.4388791867
342	0.4384923282
343	0.4381529175
344	0.4376928936
345	0.4372495108
346	0.4366642786
347	0.4356565997
348	0.4351775857
349	0.4344931907
350	0.4337283563
351	0.4332058421
352	0.4322075326
353	0.4312786036
354	0.4303145647
355	0.4297099535
356	0.4292861472
357	0.4287428612
358	0.4277973936
359	0.4269707499
360	0.4258646044
361	0.4252783828
362	0.4246869921
363	0.424202125
364	0.423931059
365	0.4230425628
366	0.4222668903
367	0.4218482458
368	0.4209989307
369	0.4205681434
370	0.4197901461
371	0.4191326915
372	0.4185674906
373	0.4181217456
374	0.4172877585
375	0.4165938061
376	0.4161966467
377	0.4156038414
378	0.4150110086
379	0.4142726811
380	0.4133752119
381	0.4125336981
382	0.4118367157
383	0.4113315669
384	0.4102337948
385	0.4096851529
386	0.4089887898
387	0.4083431124
388	0.4079063096
389	0.4071390621
390	0.4066192086
391	0.4058238355
392	0.4052684549
393	0.404770666
394	0.4043321681
395	0.4039325035
396	0.4033813419
397	0.4029013149
398	0.4023621679
399	0.4014811297
400	0.4007553293
401	0.4003145497
402	0.3997121081
403	0.398934854
404	0.3981772461
405	0.397557763
406	0.3971612142
407	0.3965622724
408	0.3959219978
409	0.3953362111
410	0.3950744375
411	0.3944816465
412	0.3938513379
413	0.3934424372
414	0.3924851551
415	0.3921136708
416	0.39161999
417	0.3906967874
418	0.389948095
419	0.3895911446
420	0.3891107895
421	0.3887485933
422	0.3880393937
423	0.387692172
424	0.3872246617
425	0.3867302957
426	0.38618318
427	0.3853603363
428	0.3849427363
429	0.3844137257
430	0.3839056819
431	0.3834149095
432	0.382894072
433	0.3824305141
434	0.3817402602
435	0.3813242347
436	0.3805758587
437	0.3801407174
